Section,Category,Type,Manufactured,Price,Energy_value
"Мясо, рыба, кулинария",Мясная гастрономия,Сосиски,"ООО ""МПЗ ""Москворецкий""",279,310.0
"Хлеб, кондитерские изделия","Печенье, пряники, вафли","Печенье, галеты, крекеры","АО ""Конти-Рус""",31,490.0
"Молочные продукты, сыр, яйца",Кисломолочные продукты,"Ряженка, простокваша, мацони","ООО ""Данон Индустрия""",27,81.0
"Мясо, рыба, кулинария",Птица,Охлажденная птица,"АО ""Угличская птицефабрика""",514,224.0
Бакалея,Продукты быстрого приготовления,"Лапша, супы, пюре",Podravka d.d.,27,360.0
"Молочные продукты, сыр, яйца","Масло сливочное, маргарин",Масло сливочное,"ОАО ""Еланский маслосыркомбинат""",112,748.0
"Молочные продукты, сыр, яйца",Сгущённое молоко и сгущёнка,None,"ООО ""Промконсервы""",83,313.0
Бакалея,Диетические продукты,Безглютеновые и соевые продукты,"ООО ""Гарнец""",124,364.0
"Хлеб, кондитерские изделия","Баранки, сушки, сухари","Сухари, хлебные палочки","ООО ""Жуковский хлеб""",43,400.0
Бакалея,"Растительные масла, соусы",Азиатская кухня,"Dalian TianLi Condiment Co., Ltd. Northern Industrial Zone, Shagangzi Village,Ying-chengzi Street, Ganjinzi District, Dalian",125,333.0
Замороженные продукты,"Замороженные фрукты, овощи, смеси",Замороженные фрукты и ягоды,"ООО ""Трио-Инвест""",114,51.08
"Молочные продукты, сыр, яйца",Кисломолочные продукты,Кефир,"ООО ""Агрофирма Оптина""",59,36.2
"Молочные продукты, сыр, яйца","Масло сливочное, маргарин",Масло сливочное,"ООО ""ЭкоНива Молоко Воронеж""",244,748.0
Напитки,"Соки, нектары",Соки,"ОАО ""Сады Придонья""",89,20.0
"Молочные продукты, сыр, яйца",Йогурт,Йогурты традиционные,"ООО ""Виренея""",67,116.0
Бакалея,Мука и кулинарные ингредиенты,Мука,"ОАО ""Комбинат хлебопродуктов Старооскольский""",84,334.0
Бакалея,"Чай, кофе, какао","Какао, горячий шоколад","ООО ""Инстанта Рус""",61,360.0
Замороженные продукты,"Мороженое, десерты",None,"ООО ""Вологодское Мороженое""",46,317.0
Бакалея,Диетические продукты,"Отруби, клетчатка, добавки","ООО ""Оргтиум""",179,307.0
Бакалея,Мука и кулинарные ингредиенты,Кулинарные ингредиенты,"ООО ""Армада""",64,158.6
Бакалея,"Растительные масла, соусы","Соусы, кетчупы, томатные пасты","ООО ""Юнилевер Русь""",59,130.0
"Мясо, рыба, кулинария","Рыба, икра, морепродукты",Крабовое мясо и палочки,"ОАО ""Рыбообрабатывающий комбинат №1""",149,186.0
"Хлеб, кондитерские изделия","Печенье, пряники, вафли","Печенье, галеты, крекеры","ООО ""БИСКОТТИ ПЛЮС""",199,490.0
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка",Наборы конфет,"ООО ""Фрязинская кондитерская фабрика""",194,530.0
Замороженные продукты,"Мороженое, десерты",None,"ООО ""Хладокомбинат №3""",212,168.0
Напитки,Ореховые и злаковые напитки,None,"ООО ""Объединение ""Союзпищепром""",122,50.0
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка","Конфеты, марципан, драже","ООО ""Малвикъ""",66,390.0
"Мясо, рыба, кулинария",Мясо,Говядина,"ООО ""Брянская мясная компания""",899,230.0
"Хлеб, кондитерские изделия","Халва, лукум, восточные сладости","Халва, лукум, чак-чак","АО ""Пищевой Комбинат Азовский""",259,490.0
Напитки,"Лимонады, тоники, газированные напитки",None,ИП Озеров Виталий Алексеевич,254,260.0
Напитки,Квас,None,"ООО ""Фонтан""",54,32.0
Бакалея,Диетические продукты,Заменители сахара и диабетика,"ООО ""Велле""",39,50.0
Детские товары,Детское питание,Детские молочные продукты,"ОАО ""Вимм-Биль-Данн""",28,107.0
"Мясо, рыба, кулинария","Рыба, икра, морепродукты",Морепродукты и салаты,"ОАО ""Рыбообрабатывающий комбинат №1""",109,39.7
"Хлеб, кондитерские изделия","Печенье, пряники, вафли","Печенье, галеты, крекеры","ООО КФ ""Пять хлебов""",179,315.0
Напитки,"Лимонады, тоники, газированные напитки",None,"ООО ""Лолинга""",44,39.0
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка",Шоколад и шоколадные изделия,Mars polska cp. z.o.o.,138,504.0
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка","Конфеты, марципан, драже",AUGUST STORCK KG,84,389.0
Детские товары,Детское питание,Детское пюре,"ОАО ""Прогресс""",60,71.0
"Хлеб, кондитерские изделия","Мармелад, зефир, пастила",Пастила,"ООО ТПК ""Старые Традиции""",154,335.5
"Хлеб, кондитерские изделия","Халва, лукум, восточные сладости","Халва, лукум, чак-чак","ООО ""Азовская кондитерская фабрика""",52,540.0
Бакалея,Диетические продукты,"Отруби, клетчатка, добавки","ООО ""Гарнец""",96,354.0
"Мясо, рыба, кулинария","Рыба, икра, морепродукты",Соленая рыба,"ООО ""Союз-Биллион""",349,238.0
Замороженные продукты,"Пельмени, вареники, хинкали",Пельмени,"ООО ""Щелковский МПК""",349,270.0
"Хлеб, кондитерские изделия","Мармелад, зефир, пастила",Мармелад,"HARIBO GmbH&amp,Co KG",179,394.0
"Хлеб, кондитерские изделия",Кексы и рулеты,Кексы,"Кекс: ООО ""КДВ Яшкино""&lt,br/&gt,Сахарная пудра: АО Компания ""Проксима""",159,390.0
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка",Наборы конфет,Perle d'Or,309,540.0
Товары для животных,Корма и лакомства,Корма и лакомства для кошек,"ООО ""Марс""",319,378.0
Детские товары,Детское питание,"Чай, батончики, печенье",Stream Foods Ltd.,46,295.0
Товары для животных,Корма и лакомства,Корма и лакомства для кошек,"ООО ""МАРС""",14,70.0
Бакалея,Мука и кулинарные ингредиенты,Кулинарные ингредиенты,BS Global,109,390.0
Бакалея,Консервы и мёд,Рыбные консервы,И.С.А. Вэлью Ко Лтд,99,105.0
"Молочные продукты, сыр, яйца",Сыры,Сыры мягкие и творожные,"ООО ""Хохланд Руссланд""",79,235.0
Замороженные продукты,Замороженные готовые блюда и полуфабрикаты,Вторые блюда и гарниры,"ООО ""Торгово - Промышленная Компания ""Вилон""",124,121.4
"Молочные продукты, сыр, яйца",Майонез,None,"АО ""Эссен Продакшн АГ""",65,613.0
Бакалея,Чипсы и снеки,Батончики,"ООО ""Формула жизни""",45,460.0
Бакалея,Чипсы и снеки,Попкорн,ИП Шорина Н.А.,82,407.0
Бакалея,"Растительные масла, соусы",Растительные масла,Terra Creta S.A.,979,828.0
Собственное производство,Мясной цех,"Колбаса, ветчина","ООО ""Гиперглобус""",329,315.0
Детские товары,Детское питание,Детское пюре,Nestle Polska C.A. (Нестле Польска С.А.),59,310.0
Бакалея,"Растительные масла, соусы",Азиатская кухня,"ООО ""Состра""",46,60.0
"Молочные продукты, сыр, яйца","Молоко, сливки",Молоко,"ООО ""АгриВолга""",84,80.0
Бакалея,Крупы и макаронные изделия,Гречневая крупа,"ООО ""Агро-Альянс""",44,350.0
Бакалея,"Растительные масла, соусы",Десертные соусы и сиропы,"ООО ""Горизонт""",199,353.0
Бакалея,Диетические продукты,Спортивное питание,"ООО ""АРТ Современные научные технологии""",52,117.0
"Хлеб, кондитерские изделия","Печенье, пряники, вафли","Печенье, галеты, крекеры","Bahlsen GmbH &amp, Co. KG",124,440.0
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка","Конфеты, марципан, драже","ООО ""Сладоград""",109,420.0
Собственное производство,Рыбный ряд,Копченая и жареная рыба,"ООО ""Гиперглобус""",1699,174.0
Напитки,"Соки, нектары",Соки,"ЗАО ""Сис Натурал""",294,50.0
Бакалея,Консервы и мёд,Рыбные консервы,"ООО ""РКЗ-Вкусные консервы""",119,356.0
"Хлеб, кондитерские изделия","Печенье, пряники, вафли","Печенье, галеты, крекеры","ООО ""Ванюшкины сладости""",124,340.0
"Молочные продукты, сыр, яйца",Сыры,Сыры мягкие и творожные,"ОАО Московский завод плавленных сыров ""КАРАТ""",73,285.3
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка",Шоколад и шоколадные изделия,"Alfred Ritter GmbH &amp, Co.Kg",94,593.0
"Молочные продукты, сыр, яйца",Сыры,Сыры твердые и полутвердые,"ООО ""ЧизАрт""",118,358.0
Бакалея,Диетические продукты,"Отруби, клетчатка, добавки","ООО ""Паритет""",48,254.0
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка",Шоколад и шоколадные изделия,"СОАО ""Коммунарка""",109,561.0
Бакалея,Диетические продукты,Заменители сахара и диабетика,"ООО ""Терра""",136,333.0
Бакалея,Продукты быстрого приготовления,Хлопья и каши,ИП Щепетьева Н.А.,179,360.0
Бакалея,Консервы и мёд,Мясные консервы,ПК Сеньковский ООО,199,349.0
Бакалея,Чипсы и снеки,Мясные и рыбные снеки,"ООО ""Фландерр""",969,55.0
"Молочные продукты, сыр, яйца",Кисломолочные продукты,"Ряженка, простокваша, мацони","ООО ""ВИВО индустрия""",244,276.0
"Молочные продукты, сыр, яйца",Сыры,Сыры с плесенью,"ООО ""СВИСС ТРЕЙД ЛАЙН""",3079,372.0
Бакалея,Диетические продукты,Безглютеновые и соевые продукты,"ООО ""Диетика""",244,460.0
"Молочные продукты, сыр, яйца",Йогурт,Йогурты питьевые,"ООО ""Данон Индустрия""",98,57.0
"Хлеб, кондитерские изделия","Хлеб, лаваш, лепешки",Хлеб,"ООО ""Прохлеб ПП""",102,275.0
Напитки,"Соки, нектары",Соки,"ООО ""Лебедянский""",184,25.0
"Мясо, рыба, кулинария","Рыба, икра, морепродукты",Морепродукты и салаты,"ОАО ПКП ""Меридиан""",89,65.0
"Молочные продукты, сыр, яйца",Яйца,None,"ООО ""Белянка""",94,157.0
Напитки,"Лимонады, тоники, газированные напитки",None,"ООО ""Ширококарамышский консервный завод""",36,35.0
"Мясо, рыба, кулинария",Мясная гастрономия,"Деликатесы, паштеты, заливное","ООО ""Дмитрогорский мясоперерабатывающий завод""",179,544.0
Бакалея,"Орехи, сухофрукты, семечки",Сушеные овощи и грибы,"ООО ""Тайга-Продукт""",499,180.0
Бакалея,"Растительные масла, соусы","Соусы, кетчупы, томатные пасты",Carl Kuhne KG,374,99.0
Замороженные продукты,"Замороженные фрукты, овощи, смеси",Замороженные овощи и смеси,"BEIJING HONGMING IMPORT &amp, EXPORT CO., LTD",94,24.0
Бакалея,Крупы и макаронные изделия,Макароны и паста,"ООО ""Макаронная фабрика Америя""",54,340.0
"Хлеб, кондитерские изделия","Хлеб, лаваш, лепешки",Хлебцы и тарталетки,"ООО ""Эверест""",19,315.0
Товары для животных,Корма и лакомства,Корма и лакомства для собак,"ООО ""Наро-Фоминский консервный завод""",94,100.0
"Хлеб, кондитерские изделия",Булочки и сладкая выпечка,"Булочки, пончики, ватрушки","ЗАО ""Хлебокомбинат ""ПЕКО""",16,246.0
